"year","month","day_of_week","hour_of_day","timestamp","origin_station_complex_id","origin_station_complex_name","origin_latitude","origin_longitude","destination_station_complex_id","destination_station_complex_name","destination_latitude","destination_longitude","estimated_average_ridership","origin_point","destination_point"
"2024","9","Monday","20","2024-09-02T20:00:00.000","37","77 St (R)","40.629742","-74.02551","30","Prospect Av (R)","40.665414","-73.992872","0.277","POINT (-74.02551 40.629742)","POINT (-73.992872 40.665414)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","3","30 Av (N,W)","40.766779","-73.921479","181","Utica Av (A,C)","40.679364","-73.930729","0.4896","POINT (-73.921479 40.766779)","POINT (-73.930729 40.679364)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","376","Brook Av (6)","40.807566","-73.91924","384","Burnside Av (4)","40.853453","-73.907684","1.1238","POINT (-73.91924 40.807566)","POINT (-73.907684 40.853453)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","619","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","40.725606","-73.995432","167","W 4 St-Wash Sq (A,C,E,B,D,F,M)","40.732338","-74.000495","13.9154","POINT (-73.995432 40.725606)","POINT (-74.000495 40.732338)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","270","46 St (M,R)","40.756312","-73.913333","310","96 St (1,2,3)","40.793919","-73.972323","0.4594","POINT (-73.913333 40.756312)","POINT (-73.972323 40.793919)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","409","Spring St (6)","40.722301","-73.997141","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","40.684162","-73.977789","1.7084","POINT (-73.997141 40.722301)","POINT (-73.977789 40.684162)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","291","Clinton-Washington Avs (G)","40.688089","-73.966839","198","Howard Beach-JFK Airport (A)","40.660476","-73.830301","0.2316","POINT (-73.966839 40.688089)","POINT (-73.830301 40.660476)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","198","Howard Beach-JFK Airport (A)","40.660476","-73.830301","108","Middle Village-Metropolitan Av (M)","40.711396","-73.889601","0.2738","POINT (-73.830301 40.660476)","POINT (-73.889601 40.711396)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","165","23 St (C,E)","40.745906","-73.998041","276","5 Av/53 St (E,M)","40.760167","-73.975224","3.198","POINT (-73.998041 40.745906)","POINT (-73.975224 40.760167)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","257","Sutphin Blvd (F)","40.70546","-73.810708","458","46 St-Bliss St (7)","40.743132","-73.918435","0.5332","POINT (-73.810708 40.70546)","POINT (-73.918435 40.743132)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","602","14 St-Union Sq (L,N,Q,R,W,4,5,6)","40.735066","-73.990416","10","49 St (N,R,W)","40.759901","-73.984139","29.982","POINT (-73.990416 40.735066)","POINT (-73.984139 40.759901)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","58","Coney Island-Stillwell Av (D,F,N,Q)","40.577422","-73.981233","456","61 St-Woodside (7)","40.74563","-73.902984","0.5488","POINT (-73.981233 40.577422)","POINT (-73.902984 40.74563)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","137","East 105 St (L)","40.650573","-73.899485","397","86 St (4,5,6)","40.779492","-73.955589","0.2438","POINT (-73.899485 40.650573)","POINT (-73.955589 40.779492)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","426","E 180 St (2,5)","40.841894","-73.873488","382","Fordham Rd (4)","40.862803","-73.901034","0.4898","POINT (-73.873488 40.841894)","POINT (-73.901034 40.862803)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","615","New Utrecht Av (N)/62 St (D)","40.625657","-73.996624","69","25 Av (D)","40.597704","-73.986829","0.9282","POINT (-73.996624 40.625657)","POINT (-73.986829 40.597704)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","22","Rector St (R,W)","40.70722","-74.013342","316","50 St (1)","40.761728","-73.983849","0.4436","POINT (-74.013342 40.70722)","POINT (-73.983849 40.761728)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","310","96 St (1,2,3)","40.793919","-73.972323","1","Astoria-Ditmars Blvd (N,W)","40.775036","-73.912034","1.4046","POINT (-73.972323 40.793919)","POINT (-73.912034 40.775036)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","456","61 St-Woodside (7)","40.74563","-73.902984","457","52 St (7)","40.744149","-73.912549","1.9298","POINT (-73.902984 40.74563)","POINT (-73.912549 40.744149)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","307","116 St-Columbia University (1)","40.807722","-73.96411","8","5 Av/59 St (N,R,W)","40.764811","-73.973347","1.8412","POINT (-73.96411 40.807722)","POINT (-73.973347 40.764811)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","1","Astoria-Ditmars Blvd (N,W)","40.775036","-73.912034","265","Grand Av-Newtown (M,R)","40.737015","-73.877223","1.8014","POINT (-73.912034 40.775036)","POINT (-73.877223 40.737015)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","312","79 St (1)","40.783934","-73.979917","127","DeKalb Av (L)","40.703811","-73.918425","0.241","POINT (-73.979917 40.783934)","POINT (-73.918425 40.703811)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","40.684162","-73.977789","327","Chambers St (1,2,3)","40.715478","-74.009266","2.0678","POINT (-73.977789 40.684162)","POINT (-74.009266 40.715478)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","6","39 Av-Dutch Kills (N,W)","40.752882","-73.932755","9","57 St-7 Av (N,Q,R,W)","40.764664","-73.980658","1.758","POINT (-73.932755 40.752882)","POINT (-73.980658 40.764664)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","453","82 St-Jackson Hts (7)","40.747659","-73.883697","256","Parsons Blvd (F)","40.707564","-73.803326","1.5114","POINT (-73.883697 40.747659)","POINT (-73.803326 40.707564)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","279","Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","40.700486","-73.807969","223","Lexington Av/63 St (F,Q)","40.764629","-73.966113","2.4452","POINT (-73.807969 40.700486)","POINT (-73.966113 40.764629)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","617","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","40.684162","-73.977789","614","59 St-Columbus Circle (A,B,C,D,1)","40.768272","-73.981833","4.577","POINT (-73.977789 40.684162)","POINT (-73.981833 40.768272)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","287","Flushing Av (G)","40.700377","-73.950234","46","Cortelyou Rd (Q)","40.640927","-73.963891","0.247","POINT (-73.950234 40.700377)","POINT (-73.963891 40.640927)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","26","DeKalb Av (B,Q,R)","40.690635","-73.981824","625","Delancey St (F)/Essex St (J,M,Z)","40.718463","-73.987776","1.9472","POINT (-73.981824 40.690635)","POINT (-73.987776 40.718463)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","409","Spring St (6)","40.722301","-73.997141","181","Utica Av (A,C)","40.679364","-73.930729","0.2876","POINT (-73.997141 40.722301)","POINT (-73.930729 40.679364)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","155","Cathedral Pkwy (110 St) (C,B)","40.800603","-73.958161","9","57 St-7 Av (N,Q,R,W)","40.764664","-73.980658","0.2728","POINT (-73.958161 40.800603)","POINT (-73.980658 40.764664)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","101","Marcy Av (M,J,Z)","40.708359","-73.957757","175","Hoyt-Schermerhorn Sts (A,C,G)","40.688484","-73.985001","0.8966","POINT (-73.957757 40.708359)","POINT (-73.985001 40.688484)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","93","Chauncey St (J,Z)","40.682893","-73.910456","222","Roosevelt Island (F)","40.759145","-73.95326","0.2628","POINT (-73.910456 40.682893)","POINT (-73.95326 40.759145)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","397","86 St (4,5,6)","40.779492","-73.955589","451","Junction Blvd (7)","40.749145","-73.869527","6.8524","POINT (-73.955589 40.779492)","POINT (-73.869527 40.749145)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","609","Bryant Pk (B,D,F,M)/5 Av (7)","40.754022","-73.983266","191","88 St (A)","40.679843","-73.85147","1.829","POINT (-73.983266 40.754022)","POINT (-73.85147 40.679843)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","354","Sterling St (2,5)","40.662742","-73.95085","451","Junction Blvd (7)","40.749145","-73.869527","0.7992","POINT (-73.95085 40.662742)","POINT (-73.869527 40.749145)"
